1,1,black,null
2,1,white,null
3,1,black,null
4,1,white,null
5,1,black,null
6,1,white,null
7,1,black,null
8,1,white,null
1,2,white,null
2,2,black,null
3,2,white,coin
4,2,black,null
5,2,white,null
6,2,black,coin
7,2,white,null
8,2,black,null
1,3,black,enemy_knight
2,3,white,null
3,3,black,trap
4,3,white,trap
5,3,black,trap
6,3,white,trap
7,3,black,null
8,3,white,enemy_knight
1,4,white,coin
2,4,black,null
3,4,white,trap
4,4,black,item_token
5,4,white,trap
6,4,black,trap
7,4,white,null
8,4,black,coin
1,5,black,null
2,5,white,null
3,5,black,trap
4,5,white,enemy_rook
5,5,black,null
6,5,white,trap
7,5,black,null
8,5,white,null
1,6,white,null
2,6,black,null
3,6,white,coin
4,6,black,null
5,6,white,null
6,6,black,coin
7,6,white,null
8,6,black,null
1,7,black,null
2,7,white,null
3,7,black,null
4,7,white,null
5,7,black,null
6,7,white,null
7,7,black,null
8,7,white,null
1,8,white,coin
2,8,black,null
3,8,white,null
4,8,black,null
5,8,white,null
6,8,black,null
7,8,white,null
8,8,black,coin
